,group_id,context,groups
143,143,"Restore the global parameter groups as well as the shard. state_dict(dict) – optimizer state. Should be an object returned
from a call tostate_dict() Gets this rank’sstate_dict.  The state of the optimizer as adict.
It contains two entries: differs between optimizer classes. param_groups - a dict containing all parameter groups Partitions parameters across distributed data parallel ranks. a list of param_groups(which is a list of dict) where each
element of the list contains the param_groups for a rank. Element 0
corresponds to rank 0, etc. We need all the ranks for the broadcast
insidestep(). Returns the local_state_dict for a given rank. rank(int) – rank to get local_state_dict for state_dict(dict) – globalstate_dict the last known global optimizer state, which consist of a list of
the shards. Performs a single optimization step (parameter update). closure(callable) – A closure that reevaluates the model and
returns the loss. Optional for most optimizers. optional loss, depends on the underlying optimizer ","[503, 534, 539, 540, 541]"
144,144,"Returns True if obj is a PyTorch tensor. Note that this function is simply doingisinstance(obj,Tensor).
Using that isinstance check is better for typechecking with mypy,
and more explicit - so it’s recommended to use that instead ofis_tensor. obj(Object) – Object to test Example: ","[38, 41]"
145,145,"Returns True if obj is a PyTorch tensor. Note that this function is simply doingisinstance(obj,Tensor).
Using thatisinstancecheck is better for typechecking with mypy,
and more explicit - so it’s recommended to use that instead ofis_tensor. obj(Object) – Object to test Example: ","[35, 36, 37, 39, 40]"
146,146,"Returns True if the data type of input is a complex data type i.e., one of torch.complex64, andtorch.complex128.   Returns True if the data type of input is a floating point data type i.e., one of torch.float64,torch.float32,torch.float16, andtorch.bfloat16.   Returns True if theinput is a single element tensor which is not equal to zero after type conversions.   Sets the default floating point dtype tod.   Get the current default floating pointtorch.dtype.   Sets the defaulttorch.Tensortype to floating point tensor typet.   Returns the total number of elements in the input tensor.   Set options for printing.   Disables denormal floating numbers on CPU. Note Random sampling creation ops are listed underRandom samplingand
include:torch.rand()torch.rand_like()torch.randn()torch.randn_like()torch.randint()torch.randint_like()torch.randperm()You may also usetorch.empty()with theIn-place random samplingmethods to createtorch.Tensors with values sampled from a broader
range of distributions.   Constructs a tensor withdata.   Constructs asparse tensor in COO(rdinate) formatwith specified values at the givenindices.   Convert the data into atorch.Tensor.   Create a view of an existingtorch.Tensorinputwith specifiedsize,strideandstorage_offset.   Creates aTensorfrom anumpy.ndarray.   Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value0, with the same size asinput.   Returns a tensor filled with the scalar value1, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value1, with the same size asinput.   Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart.   ",[811]
147,147,"Returns True if the data type of inputis a complex data type i.e., one of torch.complex64, andtorch.complex128.   Returns True if the data type of inputis a floating point data type i.e., one of torch.float64,torch.float32,torch.float16, andtorch.bfloat16.   Returns True if theinputis a single element tensor which is not equal to zero after type conversions.   Sets the default floating point dtype tod.   Get the current default floating pointtorch.dtype.   Sets the defaulttorch.Tensortype to floating point tensor typet.   Returns the total number of elements in theinputtensor.   Set options for printing.   Disables denormal floating numbers on CPU. Note Random sampling creation ops are listed underRandom samplingand
include:torch.rand()torch.rand_like()torch.randn()torch.randn_like()torch.randint()torch.randint_like()torch.randperm()You may also usetorch.empty()with theIn-place random samplingmethods to createtorch.Tensors with values sampled from a broader
range of distributions.   Constructs a tensor withdata.   Constructs asparse tensor in COO(rdinate) formatwith specified values at the givenindices.   Convert the data into atorch.Tensor.   Create a view of an existingtorch.Tensorinputwith specifiedsize,strideandstorage_offset.   Creates aTensorfrom anumpy.ndarray.   Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value0, with the same size asinput.   Returns a tensor filled with the scalar value1, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value1, with the same size asinput.   Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart.   ",[184]
148,148,"Returns True if theinputis a single element tensor which is not equal to zero after type conversions.   Sets the default floating point dtype tod.   Get the current default floating pointtorch.dtype.   Sets the defaulttorch.Tensortype to floating point tensor typet.   Returns the total number of elements in theinputtensor.   Set options for printing.   Disables denormal floating numbers on CPU. Note Random sampling creation ops are listed underRandom samplingand
include:torch.rand()torch.rand_like()torch.randn()torch.randn_like()torch.randint()torch.randint_like()torch.randperm()You may also usetorch.empty()with theIn-place random samplingmethods to createtorch.Tensors with values sampled from a broader
range of distributions.   Constructs a tensor withdata.   Constructs asparse tensor in COO(rdinate) formatwith specified values at the givenindices.   Convert the data into atorch.Tensor.   Create a view of an existingtorch.Tensorinputwith specifiedsize,strideandstorage_offset.   Creates aTensorfrom anumpy.ndarray.   Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value0, with the same size asinput.   Returns a tensor filled with the scalar value1, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value1, with the same size asinput.   Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart.   Returns a 1-D tensor of size⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1with values from start to endwith stepstep.   Creates a one-dimensional tensor of sizesteps whose values are evenly spaced from start to end, inclusive.   ",[167]
149,149,"Returns True ifobjis a PyTorch storage object.   Returns True if the data type of inputis a complex data type i.e., one of torch.complex64, andtorch.complex128.   Returns True if the data type of inputis a floating point data type i.e., one of torch.float64,torch.float32,torch.float16, andtorch.bfloat16.   Returns True if theinputis a single element tensor which is not equal to zero after type conversions.   Sets the default floating point dtype tod.   Get the current default floating pointtorch.dtype.   Sets the defaulttorch.Tensortype to floating point tensor typet.   Returns the total number of elements in theinputtensor.   Set options for printing.   Disables denormal floating numbers on CPU. Note Random sampling creation ops are listed underRandom samplingand
include:torch.rand()torch.rand_like()torch.randn()torch.randn_like()torch.randint()torch.randint_like()torch.randperm()You may also usetorch.empty()with theIn-place random samplingmethods to createtorch.Tensors with values sampled from a broader
range of distributions.   Constructs a tensor withdata.   Constructs asparse tensor in COO(rdinate) formatwith specified values at the givenindices.   Convert the data into atorch.Tensor.   Create a view of an existingtorch.Tensorinputwith specifiedsize,strideandstorage_offset.   Creates aTensorfrom anumpy.ndarray.   Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value0, with the same size asinput.   Returns a tensor filled with the scalar value1, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value1, with the same size asinput.   Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart.   ","[162, 171, 173]"
150,150,"Returns True ifobjis a PyTorch tensor.   Returns True ifobjis a PyTorch storage object.   Returns True if the data type of inputis a complex data type i.e., one of torch.complex64, andtorch.complex128.   Returns True if the data type of inputis a floating point data type i.e., one of torch.float64,torch.float32,torch.float16, andtorch.bfloat16.   Returns True if theinputis a single element tensor which is not equal to zero after type conversions.   Sets the default floating point dtype tod.   Get the current default floating pointtorch.dtype.   Sets the defaulttorch.Tensortype to floating point tensor typet.   Returns the total number of elements in theinputtensor.   Set options for printing.   Disables denormal floating numbers on CPU. Note Random sampling creation ops are listed underRandom samplingand
include:torch.rand()torch.rand_like()torch.randn()torch.randn_like()torch.randint()torch.randint_like()torch.randperm()You may also usetorch.empty()with theIn-place random samplingmethods to createtorch.Tensors with values sampled from a broader
range of distributions.   Constructs a tensor withdata.   Constructs asparse tensor in COO(rdinate) formatwith specified values at the givenindices.   Convert the data into atorch.Tensor.   Create a view of an existingtorch.Tensorinputwith specifiedsize,strideandstorage_offset.   Creates aTensorfrom anumpy.ndarray.   Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value0, with the same size asinput.   Returns a tensor filled with the scalar value1, with the shape defined by the variable argumentsize.   Returns a tensor filled with the scalar value1, with the same size asinput.   Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart.   ",[170]
151,151,"Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart. Note that non-integerstepis subject to floating point rounding errors when
comparing againstend; to avoid inconsistency, we advise adding a small epsilon toendin such cases. start(Number) – the starting value for the set of points. Default:0. ","[781, 782]"
152,152,"Returns a 1-D tensor of size⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉with values from the interval[start,end)taken with common differencestepbeginning fromstart. Note that non-integerstepis subject to floating point rounding errors when
comparing againstend; to avoid inconsistency, we advise adding a small epsilon toendin such cases. start(Number) – the starting value for the set of points. Default:0. end(Number) – the ending value for the set of points step(Number) – the gap between each pair of adjacent points. Default:1. out(Tensor,optional) – the output tensor. dtype(torch.dtype, optional) – the desired data type of returned tensor.
Default: if None, uses a global default (seetorch.set_default_tensor_type()). If dtype is not given, infer the data type from the other input
arguments. If any ofstart,end, orstopare floating-point, thedtypeis inferred to be the default dtype, seeget_default_dtype(). Otherwise, thedtypeis inferred to
betorch.int64. ","[778, 783, 792, 797]"
153,153,"Returns a 1-dimensional view of each input tensor with zero dimensions.   Returns a 2-dimensional view of each input tensor with zero dimensions.   Returns a 3-dimensional view of each input tensor with zero dimensions.   Count the frequency of each value in an array of non-negative ints.   Create a block diagonal matrix from provided tensors.   Broadcasts the given tensors according toBroadcasting semantics.   Broadcastsinputto the shapeshape.   Similar tobroadcast_tensors()but for shapes.   Returns the indices of the buckets to which each value in the input belongs, where the boundaries of the buckets are set byboundaries.   Do cartesian product of the given sequence of tensors.   Computes batched the p-norm distance between each pair of the two collections of row vectors.   Returns a copy of input.   Compute combinations of lengthrrrof the given tensor.   Returns the cross product of vectors in dimensiondimof inputandother.   Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of elements of inputin the dimensiondim.   Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of elements of inputin the dimensiondim.   Returns the cumulative product of elements of inputin the dimensiondim.   Returns the cumulative sum of elements of inputin the dimensiondim.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Creates a tensor whose diagonals of certain 2D planes (specified by dim1anddim2) are filled byinput.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Returns a partial view of inputwith the its diagonal elements with respect todim1anddim2appended as a dimension at the end of the shape.   Computes the n-th forward difference along the given dimension.   Sums the product of the elements of the inputoperandsalong dimensions specified using a notation based on the Einstein summation convention.   Flattensinputby reshaping it into a one-dimensional tensor.   Reverse the order of a n-D tensor along given axis in dims.   ","[314, 315, 318, 323]"
154,154,"Returns a 3-dimensional view of each input tensor with zero dimensions.   Count the frequency of each value in an array of non-negative ints.   Create a block diagonal matrix from provided tensors.   Broadcasts the given tensors according toBroadcasting semantics.   Broadcastsinputto the shapeshape.   Similar tobroadcast_tensors()but for shapes.   Returns the indices of the buckets to which each value in the input belongs, where the boundaries of the buckets are set byboundaries.   Do cartesian product of the given sequence of tensors.   Computes batched the p-norm distance between each pair of the two collections of row vectors.   Returns a copy of input.   Compute combinations of lengthrrrof the given tensor.   Returns the cross product of vectors in dimensiondimof inputandother.   Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of elements of inputin the dimensiondim.   Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of elements of inputin the dimensiondim.   Returns the cumulative product of elements of inputin the dimensiondim.   Returns the cumulative sum of elements of inputin the dimensiondim.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Creates a tensor whose diagonals of certain 2D planes (specified by dim1anddim2) are filled byinput.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Returns a partial view of inputwith the its diagonal elements with respect todim1anddim2appended as a dimension at the end of the shape.   Computes the n-th forward difference along the given dimension.   Sums the product of the elements of the inputoperandsalong dimensions specified using a notation based on the Einstein summation convention.   Flattensinputby reshaping it into a one-dimensional tensor.   Reverse the order of a n-D tensor along given axis in dims.   Flip tensor in the left/right direction, returning a new tensor.   Flip tensor in the up/down direction, returning a new tensor.   ","[316, 319, 320, 324, 325, 327]"
155,155,"Returns a copy of input.   Compute combinations of lengthrrrof the given tensor.   Returns the cross product of vectors in dimension dim of input and other.   Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of elements of input in the dimension dim.   Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of elements of input in the dimension dim.   Returns the cumulative product of elements of input in the dimension dim.   Returns the cumulative sum of elements of input in the dimension dim.    Ifinput is a vector (1-D tensor), then returns a 2-D square tensor   Creates a tensor whose diagonals of certain 2D planes (specified by dim1anddim2) are filled byinput.    Ifinput is a vector (1-D tensor), then returns a 2-D square tensor   Returns a partial view of inputwith the its diagonal elements with respect todim1anddim2appended as a dimension at the end of the shape.   Computes the n-th forward difference along the given dimension.   ",[813]
156,156,"Returns a copy of input.   Compute combinations of lengthrrrof the given tensor.   Returns the cross product of vectors in dimensiondimof inputandother.   Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of elements of inputin the dimensiondim.   Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of elements of inputin the dimensiondim.   Returns the cumulative product of elements of inputin the dimensiondim.   Returns the cumulative sum of elements of inputin the dimensiondim.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Creates a tensor whose diagonals of certain 2D planes (specified by dim1anddim2) are filled byinput.    Ifinputis a vector (1-D tensor), then returns a 2-D square tensor   Returns a partial view of inputwith the its diagonal elements with respect todim1anddim2appended as a dimension at the end of the shape.   Computes the n-th forward difference along the given dimension.   Sums the product of the elements of the inputoperandsalong dimensions specified using a notation based on the Einstein summation convention.   Flattensinputby reshaping it into a one-dimensional tensor.   Reverse the order of a n-D tensor along given axis in dims.   Flip tensor in the left/right direction, returning a new tensor.   Flip tensor in the up/down direction, returning a new tensor.   Computes the Kronecker product, denoted by⊗\otimes⊗, of inputandother.   Rotate a n-D tensor by 90 degrees in the plane specified by dims axis.   Computes the element-wise greatest common divisor (GCD) of inputandother.   Computes the histogram of a tensor.   TakeNNNtensors, each of which can be either scalar or 1-dimensional vector, and createNNNN-dimensional grids, where theiiithgrid is defined by expanding theiiithinput over dimensions defined by other inputs.   Computes the element-wise least common multiple (LCM) of inputandother.   Returns the logarithm of the cumulative summation of the exponentiation of elements of inputin the dimensiondim.   ","[322, 326, 331, 334, 338, 339, 340, 343, 344, 345, 346]"
157,157,"Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of
elements of input in the dimension dim. Andindicesis the index
location of each maximum value found in the dimension dim. input(Tensor) – the input tensor. dim(int) – the dimension to do the operation over out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ",[925]
158,158,"Returns a namedtuple(values,indices)wherevaluesis the cumulative maximum of
elements ofinputin the dimensiondim. Andindicesis the index
location of each maximum value found in the dimensiondim. input(Tensor) – the input tensor. dim(int) – the dimension to do the operation over out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ",[92]
159,159,"Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of
elements of input in the dimension dim. Andindicesis the index
location of each maximum value found in the dimension dim. input(Tensor) – the input tensor. dim(int) – the dimension to do the operation over out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ","[445, 926]"
160,160,"Returns a namedtuple(values,indices)wherevaluesis the cumulative minimum of
elements ofinputin the dimensiondim. Andindicesis the index
location of each maximum value found in the dimensiondim. input(Tensor) – the input tensor. dim(int) – the dimension to do the operation over out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ",[93]
161,161,"Returns a namedtuple(values,indices)wherevaluesis the mode
value of each row of the input tensor in the given dimension dim, i.e. a value which appears most often
in that row, andindicesis the index location of each mode value found. By default,dimis the last dimension of the input tensor. ","[447, 448, 449]"
162,162,"Returns a namedtuple(values,indices)wherevaluesis the mode
value of each row of the input tensor in the given dimension dim, i.e. a value which appears most often
in that row, andindicesis the index location of each mode value found. By default,dimis the last dimension of the input tensor. If keepdim is True, the output tensors are of the same size asinputexcept in the dimension dimwhere they are of size 1.
Otherwise,dimis squeezed (seetorch.squeeze()), resulting
in the output tensors having 1 fewer dimension than input. Note This function is not defined for torch.cuda.Tensoryet. input(Tensor) – the input tensor. dim(int) – the dimension to reduce. keepdim(bool) – whether the output tensor hasdimretained or not. out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ","[450, 454, 459, 460, 461, 464, 910]"
163,163,"Returns a new tensor with boolean elements representing if each element of input is real-valued or not.
All real-valued types are considered real. Complex values are considered real when their imaginary part is 0. input(Tensor) – the input tensor. A boolean tensor that is True whereinput is real and False elsewhere Example: ","[931, 932, 933, 934, 935, 936, 937]"
164,164,"Returns a new tensor with the arcsine  of the elements of input.   Alias for torch.asin().   Returns a new tensor with the inverse hyperbolic sine of the elements of input.   Alias for torch.asinh().   Returns a new tensor with the arctangent  of the elements of input.   Alias for torch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements of input.   Alias for torch.atanh().   Element-wise arctangent of inputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND of inputandother.   Computes the bitwise OR of inputandother.   Computes the bitwise XOR of inputandother.   Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias for torch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude of inputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements of input.   Returns a new tensor with the hyperbolic cosine  of the elements of input.   Returns a new tensor with each of the elements of inputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias for torch.div().   Computes the logarithmic derivative of the gamma function oninput.   Alias for torch.special.erf().   Alias for torch.special.erfc().   Alias for torch.special.erfinv().   Returns a new tensor with the exponential of the elements of the input tensorinput.   Alias for torch.special.exp2().   Alias for torch.special.expm1().   Returns a new tensor with the data in inputfake quantized per channel usingscale,zero_point,quant_minandquant_max, across the channel specified byaxis.   Returns a new tensor with the data in inputfake quantized usingscale,zero_point,quant_minandquant_max.   Alias for torch.trunc()   ","[266, 292]"
165,165,"Returns a new tensor with the arcsine  of the elements ofinput.   Alias fortorch.asin().   Returns a new tensor with the inverse hyperbolic sine of the elements ofinput.   Alias fortorch.asinh().   Returns a new tensor with the arctangent  of the elements ofinput.   Alias fortorch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements ofinput.   Alias fortorch.atanh().   Element-wise arctangent ofinputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND ofinputandother.   Computes the bitwise OR ofinputandother.   Computes the bitwise XOR ofinputandother.   Returns a new tensor with the ceil of the elements ofinput, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias fortorch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   ",[680]
166,166,"Returns a new tensor with the inverse hyperbolic cosine of the elements of input.   Alias for torch.acosh().   Adds the scalar otherto each element of the inputinputand returns a new resulting tensor.   Performs the element-wise division of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Performs the element-wise multiplication of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Computes the element-wise angle (in radians) of the giveninputtensor.   Returns a new tensor with the arcsine  of the elements of input.   Alias for torch.asin().   Returns a new tensor with the inverse hyperbolic sine of the elements of input.   Alias for torch.asinh().   Returns a new tensor with the arctangent  of the elements of input.   Alias for torch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements of input.   Alias for torch.atanh().   Element-wise arctangent of inputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND of inputandother.   Computes the bitwise OR of inputandother.   Computes the bitwise XOR of inputandother.   Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias for torch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude of inputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements of input.   Returns a new tensor with the hyperbolic cosine  of the elements of input.   Returns a new tensor with each of the elements of inputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias for torch.div().   Computes the logarithmic derivative of the gamma function oninput.   Alias for torch.special.erf().   ",[269]
167,167,"Returns a new tensor with the inverse hyperbolic sine of the elements of input.   Alias for torch.asinh().   Returns a new tensor with the arctangent  of the elements of input.   Alias for torch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements of input.   Alias for torch.atanh().   Element-wise arctangent of inputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND of inputandother.   Computes the bitwise OR of inputandother.   Computes the bitwise XOR of inputandother.   Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias for torch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude of inputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements of input.   Returns a new tensor with the hyperbolic cosine  of the elements of input.   Returns a new tensor with each of the elements of inputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias for torch.div().   Computes the logarithmic derivative of the gamma function oninput.   Alias for torch.special.erf().   Alias for torch.special.erfc().   Alias for torch.special.erfinv().   Returns a new tensor with the exponential of the elements of the input tensorinput.   Alias for torch.special.exp2().   Alias for torch.special.expm1().   Returns a new tensor with the data in inputfake quantized per channel usingscale,zero_point,quant_minandquant_max, across the channel specified byaxis.   Returns a new tensor with the data in inputfake quantized usingscale,zero_point,quant_minandquant_max.   Alias for torch.trunc()   Raisesinputto the power ofexponent, elementwise, in double precision.   ","[254, 268, 283, 295, 296]"
168,168,"Returns a new tensor with the inverse hyperbolic sine of the elements ofinput.   Alias fortorch.asinh().   Returns a new tensor with the arctangent  of the elements ofinput.   Alias fortorch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements ofinput.   Alias fortorch.atanh().   Element-wise arctangent ofinputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND ofinputandother.   Computes the bitwise OR ofinputandother.   Computes the bitwise XOR ofinputandother.   Returns a new tensor with the ceil of the elements ofinput, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias fortorch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude ofinputand the sign ofother, elementwise.   ",[674]
169,169,"Returns a new tensor with the inverse hyperbolic sine of the elements ofinput.   Alias fortorch.asinh().   Returns a new tensor with the arctangent  of the elements ofinput.   Alias fortorch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements ofinput.   Alias fortorch.atanh().   Element-wise arctangent ofinputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND ofinputandother.   Computes the bitwise OR ofinputandother.   Computes the bitwise XOR ofinputandother.   Returns a new tensor with the ceil of the elements ofinput, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias fortorch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude ofinputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements ofinput.   Returns a new tensor with the hyperbolic cosine  of the elements ofinput.   Returns a new tensor with each of the elements ofinputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias fortorch.div().   Computes the logarithmic derivative of the gamma function oninput.   Alias fortorch.special.erf().   Alias fortorch.special.erfc().   Alias fortorch.special.erfinv().   Returns a new tensor with the exponential of the elements of the input tensorinput.   Alias fortorch.special.exp2().   Alias fortorch.special.expm1().   Returns a new tensor with the data in inputfake quantized per channel usingscale,zero_point,quant_minandquant_max, across the channel specified byaxis.   Returns a new tensor with the data in inputfake quantized usingscale,zero_point,quant_minandquant_max.   Alias fortorch.trunc()   Raisesinputto the power ofexponent, elementwise, in double precision.   ",[684]
170,170,"Returns a tensor where each row containsnum_samplesindices sampled from the multinomial probability distribution located in the corresponding row of tensorinput.   Returns a tensor of random numbers drawn from separate normal distributions whose mean and standard deviation are given.   Returns a tensor of the same size asinputwith each element sampled from a Poisson distribution with rate parameter given by the corresponding element in inputi.e.,   Returns a tensor filled with random numbers from a uniform distribution on the interval[0,1)[0, 1)[0,1)   Returns a tensor with the same size as input that is filled with random numbers from a uniform distribution on the interval[0,1)[0, 1)[0,1).   Returns a tensor filled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive).   Returns a tensor with the same shape as Tensorinputfilled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive).   Returns a tensor filled with random numbers from a normal distribution with mean0and variance1(also called the standard normal distribution).   Returns a tensor with the same size as input that is filled with random numbers from a normal distribution with mean 0 and variance 1.   Returns a random permutation of integers from0ton-1. There are a few more in-place random sampling functions defined on Tensors as well. Click through to refer to their documentation: torch.Tensor.bernoulli_()- in-place version of torch.bernoulli() torch.Tensor.cauchy_()- numbers drawn from the Cauchy distribution torch.Tensor.exponential_()- numbers drawn from the exponential distribution torch.Tensor.geometric_()- elements drawn from the geometric distribution torch.Tensor.log_normal_()- samples from the log-normal distribution torch.Tensor.normal_()- in-place version of torch.normal() torch.Tensor.random_()- numbers sampled from the discrete uniform distribution torch.Tensor.uniform_()- numbers sampled from the continuous uniform distribution quasirandom.SobolEngine ","[219, 229, 240, 241, 242]"
171,171,"Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted
LU factorization of A fromtorch.lu(). This function supportsfloat,double,cfloatandcdoubledtypes for input. b(Tensor) – the RHS tensor of size(∗,m,k)(*, m, k)(∗,m,k), where∗*∗is zero or more batch dimensions. LU_data(Tensor) – the pivoted LU factorization of A fromtorch.lu()of size(∗,m,m)(*, m, m)(∗,m,m),
where∗*∗is zero or more batch dimensions. ","[79, 84]"
172,172,"Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted
LU factorization of A fromtorch.lu(). This function supportsfloat,double,cfloatandcdoubledtypes forinput. b(Tensor) – the RHS tensor of size(∗,m,k)(*, m, k)(∗,m,k), where∗*∗is zero or more batch dimensions. LU_data(Tensor) – the pivoted LU factorization of A fromtorch.lu()of size(∗,m,m)(*, m, m)(∗,m,m),
where∗*∗is zero or more batch dimensions. ","[80, 82]"
